grad_diff_norm,param_update_norm,next_grad_norm
2.4884939193725586e-06,0.0040283203125,2.4884939193725586e-06
1.773238182067871e-06,0.00433349609375,1.9818544387817383e-06
2.60770320892334e-06,0.004180908203125,2.3096799850463867e-06
7.152557373046875e-06,0.004638671875,6.198883056640625e-06
1.0788440704345703e-05,0.005859375,1.0728836059570312e-05
1.2636184692382812e-05,0.00396728515625,3.814697265625e-06
3.4421682357788086e-06,0.0034637451171875,4.082918167114258e-06
4.291534423828125e-06,0.0031890869140625,1.7136335372924805e-06
7.808208465576172e-06,0.0035247802734375,8.165836334228516e-06
7.927417755126953e-06,0.00341796875,2.9653310775756836e-06
6.943941116333008e-06,0.003997802734375,7.241964340209961e-06
1.1324882507324219e-05,0.002410888671875,4.470348358154297e-06
8.285045623779297e-06,0.0028533935546875,4.589557647705078e-06
1.7881393432617188e-05,0.004638671875,2.002716064453125e-05
2.110004425048828e-05,0.0045166015625,5.066394805908203e-06
5.066394805908203e-06,0.003936767578125,2.6673078536987305e-06
1.1801719665527344e-05,0.003936767578125,1.1682510375976562e-05
2.288818359375e-05,0.0032806396484375,1.1920928955078125e-05
1.1146068572998047e-05,0.00433349609375,2.1219253540039062e-05
2.086162567138672e-05,0.00396728515625,1.9222497940063477e-06
4.827976226806641e-06,0.0036163330078125,5.185604095458984e-06
6.4373016357421875e-06,0.003448486328125,3.293156623840332e-06
1.7881393432617188e-05,0.001739501953125,1.5497207641601562e-05
5.811452865600586e-06,0.00185394287109375,1.341104507446289e-05
2.1696090698242188e-05,0.00136566162109375,1.0251998901367188e-05
1.049041748046875e-05,0.002166748046875,9.715557098388672e-06
1.1086463928222656e-05,0.0020294189453125,3.844499588012695e-06
3.3855438232421875e-05,0.005645751953125,3.2901763916015625e-05
3.409385681152344e-05,0.004791259765625,3.56137752532959e-06
