grad_diff_norm,param_update_norm,next_grad_norm
4.827976226806641e-06,0.01177978515625,4.827976226806641e-06
5.990266799926758e-06,0.015380859375,6.467103958129883e-06
7.867813110351562e-06,0.0146484375,5.930662155151367e-06
7.987022399902344e-06,0.01171875,4.947185516357422e-06
1.4781951904296875e-05,0.01397705078125,1.4662742614746094e-05
2.2172927856445312e-05,0.0125732421875,1.3828277587890625e-05
2.3484230041503906e-05,0.01318359375,1.5079975128173828e-05
1.537799835205078e-05,0.01361083984375,1.1801719665527344e-05
1.609325408935547e-05,0.0125732421875,1.2040138244628906e-05
2.562999725341797e-05,0.01019287109375,2.1696090698242188e-05
2.014636993408203e-05,0.0096435546875,1.1146068572998047e-05
2.4437904357910156e-05,0.01190185546875,2.872943878173828e-05
3.266334533691406e-05,0.01055908203125,1.043081283569336e-05
1.6808509826660156e-05,0.010009765625,1.3649463653564453e-05
2.47955322265625e-05,0.01080322265625,2.0742416381835938e-05
2.1219253540039062e-05,0.01092529296875,1.3053417205810547e-05
1.919269561767578e-05,0.0101318359375,1.4007091522216797e-05
2.682209014892578e-05,0.0106201171875,2.562999725341797e-05
3.0159950256347656e-05,0.0098876953125,1.3589859008789062e-05
3.0040740966796875e-05,0.01019287109375,2.4318695068359375e-05
4.3392181396484375e-05,0.01129150390625,3.266334533691406e-05
3.4809112548828125e-05,0.01116943359375,1.4424324035644531e-05
2.0503997802734375e-05,0.011474609375,1.895427703857422e-05
3.0517578125e-05,0.01141357421875,2.86102294921875e-05
3.62396240234375e-05,0.01190185546875,2.1457672119140625e-05
2.9325485229492188e-05,0.0113525390625,2.1457672119140625e-05
2.467632293701172e-05,0.01031494140625,1.3470649719238281e-05
8.153915405273438e-05,0.013671875,8.0108642578125e-05
8.96453857421875e-05,0.01483154296875,3.886222839355469e-05
