grad_diff_norm,param_update_norm,next_grad_norm
6.556510925292969e-07,0.00173187255859375,6.556510925292969e-07
8.754432201385498e-07,0.00110626220703125,4.209578037261963e-07
4.4517219066619873e-07,0.0009765625,4.414469003677368e-07
9.015202522277832e-07,0.00113677978515625,1.0058283805847168e-06
4.112720489501953e-06,0.00311279296875,4.500150680541992e-06
4.649162292480469e-06,0.0023345947265625,1.1920928955078125e-06
1.7061829566955566e-06,0.0019989013671875,8.642673492431641e-07
1.9818544387817383e-06,0.0016326904296875,1.3187527656555176e-06
2.041459083557129e-06,0.00153350830078125,1.0654330253601074e-06
2.0712614059448242e-06,0.0020904541015625,1.996755599975586e-06
3.814697265625e-06,0.0022735595703125,3.7848949432373047e-06
3.874301910400391e-06,0.0018157958984375,1.4007091522216797e-06
4.976987838745117e-06,0.0015411376953125,5.185604095458984e-06
6.318092346191406e-06,0.00168609619140625,2.518296241760254e-06
3.069639205932617e-06,0.0016937255859375,1.6763806343078613e-06
2.0563602447509766e-06,0.0013885498046875,1.3709068298339844e-06
3.293156623840332e-06,0.0010528564453125,2.682209014892578e-06
3.591179847717285e-06,0.0012054443359375,2.0563602447509766e-06
2.16066837310791e-06,0.00109100341796875,1.080334186553955e-06
1.1846423149108887e-06,0.0008392333984375,1.1548399925231934e-06
1.4007091522216797e-06,0.000507354736328125,1.996755599975586e-06
2.2202730178833008e-06,0.0003871917724609375,7.301568984985352e-07
2.3990869522094727e-06,0.0004444122314453125,2.16066837310791e-06
3.3527612686157227e-06,0.0004673004150390625,2.041459083557129e-06
4.9173831939697266e-06,0.001129150390625,4.589557647705078e-06
5.27501106262207e-06,0.00109100341796875,2.115964889526367e-06
3.3974647521972656e-06,0.000843048095703125,2.3245811462402344e-06
2.3245811462402344e-05,0.004547119140625,2.193450927734375e-05
2.09808349609375e-05,0.00421142578125,2.0116567611694336e-06
