grad_diff_norm,param_update_norm,next_grad_norm
1.2516975402832031e-06,0.003997802734375,1.2516975402832031e-06
2.5033950805664062e-06,0.005615234375,2.205371856689453e-06
3.337860107421875e-06,0.005584716796875,2.428889274597168e-06
2.9206275939941406e-06,0.004730224609375,1.6689300537109375e-06
4.601478576660156e-05,0.013671875,4.601478576660156e-05
4.6253204345703125e-05,0.01239013671875,5.602836608886719e-06
6.377696990966797e-06,0.010986328125,3.1888484954833984e-06
4.857778549194336e-06,0.00982666015625,3.6656856536865234e-06
4.678964614868164e-06,0.008544921875,2.8461217880249023e-06
9.417533874511719e-06,0.008056640625,9.000301361083984e-06
1.245737075805664e-05,0.007659912109375,8.58306884765625e-06
9.47713851928711e-06,0.006744384765625,4.082918167114258e-06
1.71661376953125e-05,0.0079345703125,1.6689300537109375e-05
1.728534698486328e-05,0.007080078125,4.291534423828125e-06
8.940696716308594e-06,0.0067138671875,7.867813110351562e-06
9.119510650634766e-06,0.0059814453125,4.738569259643555e-06
1.1444091796875e-05,0.00628662109375,1.043081283569336e-05
1.4185905456542969e-05,0.006256103515625,9.47713851928711e-06
1.049041748046875e-05,0.005584716796875,4.4405460357666016e-06
7.3015689849853516e-06,0.005126953125,5.751848220825195e-06
8.463859558105469e-06,0.00482177734375,6.16908073425293e-06
6.9141387939453125e-06,0.004302978515625,3.11434268951416e-06
5.7220458984375e-06,0.004058837890625,4.857778549194336e-06
1.3768672943115234e-05,0.005096435546875,1.2814998626708984e-05
1.9073486328125e-05,0.006072998046875,1.4483928680419922e-05
1.919269561767578e-05,0.00634765625,1.239776611328125e-05
1.3828277587890625e-05,0.005767822265625,5.930662155151367e-06
9.775161743164062e-05,0.0146484375,9.775161743164062e-05
9.822845458984375e-05,0.0123291015625,7.510185241699219e-06
