grad_diff_norm,param_update_norm,next_grad_norm
7.636845111846924e-07,0.0023193359375,7.636845111846924e-07
1.6093254089355469e-06,0.003387451171875,1.4081597328186035e-06
2.086162567138672e-06,0.003936767578125,1.6540288925170898e-06
2.0712614059448242e-06,0.00341796875,1.296401023864746e-06
1.519918441772461e-05,0.0093994140625,1.519918441772461e-05
1.5854835510253906e-05,0.0084228515625,4.291534423828125e-06
5.0067901611328125e-06,0.007598876953125,3.0547380447387695e-06
4.738569259643555e-06,0.00640869140625,3.2335519790649414e-06
3.933906555175781e-06,0.00543212890625,1.8998980522155762e-06
5.811452865600586e-06,0.005828857421875,5.543231964111328e-06
9.298324584960938e-06,0.006134033203125,7.212162017822266e-06
7.748603820800781e-06,0.0052490234375,2.592802047729492e-06
8.702278137207031e-06,0.006195068359375,8.165836334228516e-06
8.881092071533203e-06,0.0054931640625,3.546476364135742e-06
7.0035457611083984e-06,0.00537109375,5.662441253662109e-06
6.67572021484375e-06,0.004852294921875,3.3229589462280273e-06
7.18235969543457e-06,0.004913330078125,6.288290023803711e-06
8.52346420288086e-06,0.004974365234375,5.692243576049805e-06
6.854534149169922e-06,0.00457763671875,3.7997961044311523e-06
6.288290023803711e-06,0.004486083984375,4.947185516357422e-06
6.616115570068359e-06,0.00457763671875,5.066394805908203e-06
5.632638931274414e-06,0.004119873046875,2.5779008865356445e-06
6.020069122314453e-06,0.004425048828125,5.513429641723633e-06
1.609325408935547e-05,0.006072998046875,1.4603137969970703e-05
1.7404556274414062e-05,0.006317138671875,9.179115295410156e-06
1.2278556823730469e-05,0.006500244140625,8.702278137207031e-06
1.1682510375976562e-05,0.00628662109375,7.927417755126953e-06
0.0001163482666015625,0.015625,0.0001163482666015625
0.00011682510375976562,0.01263427734375,5.9604644775390625e-06
