grad_diff_norm,param_update_norm,next_grad_norm
2.4884939193725586e-06,0.007415771484375,2.4884939193725586e-06
5.155801773071289e-06,0.009765625,4.708766937255859e-06
1.043081283569336e-05,0.0126953125,9.59634780883789e-06
9.298324584960938e-06,0.0118408203125,4.380941390991211e-06
2.956390380859375e-05,0.01446533203125,2.8967857360839844e-05
3.0517578125e-05,0.01251220703125,9.179115295410156e-06
1.233816146850586e-05,0.01104736328125,7.092952728271484e-06
9.715557098388672e-06,0.01007080078125,6.586313247680664e-06
1.4185905456542969e-05,0.0098876953125,1.1980533599853516e-05
1.5079975128173828e-05,0.010009765625,1.0311603546142578e-05
1.9431114196777344e-05,0.0107421875,1.6689300537109375e-05
1.9669532775878906e-05,0.00885009765625,9.238719940185547e-06
4.291534423828125e-05,0.01190185546875,4.3392181396484375e-05
4.4345855712890625e-05,0.01055908203125,8.285045623779297e-06
2.8967857360839844e-05,0.01031494140625,2.6106834411621094e-05
2.777576446533203e-05,0.0087890625,4.9173831939697266e-06
1.800060272216797e-05,0.00921630859375,1.6808509826660156e-05
2.849102020263672e-05,0.009033203125,2.086162567138672e-05
2.276897430419922e-05,0.00799560546875,7.867813110351562e-06
1.0669231414794922e-05,0.007232666015625,7.033348083496094e-06
1.1324882507324219e-05,0.006622314453125,8.404254913330078e-06
1.1920928955078125e-05,0.006195068359375,9.059906005859375e-06
1.537799835205078e-05,0.00640869140625,1.33514404296875e-05
2.193450927734375e-05,0.0068359375,1.811981201171875e-05
2.5272369384765625e-05,0.007659912109375,1.8835067749023438e-05
2.9325485229492188e-05,0.0084228515625,2.5033950805664062e-05
2.6464462280273438e-05,0.00750732421875,8.52346420288086e-06
8.296966552734375e-05,0.01348876953125,8.249282836914062e-05
8.296966552734375e-05,0.01214599609375,1.2695789337158203e-05
