grad_diff_norm,param_update_norm,next_grad_norm
1.3336539268493652e-06,0.00433349609375,1.3336539268493652e-06
2.9206275939941406e-06,0.0059814453125,2.4884939193725586e-06
4.1425228118896484e-06,0.006500244140625,3.069639205932617e-06
3.5315752029418945e-06,0.005889892578125,2.175569534301758e-06
2.6464462280273438e-05,0.01239013671875,2.6464462280273438e-05
2.6941299438476562e-05,0.011474609375,7.092952728271484e-06
7.808208465576172e-06,0.0107421875,5.304813385009766e-06
6.9141387939453125e-06,0.0101318359375,5.453824996948242e-06
6.318092346191406e-06,0.009033203125,3.591179847717285e-06
1.1444091796875e-05,0.009033203125,1.0788440704345703e-05
1.6808509826660156e-05,0.00927734375,1.329183578491211e-05
1.4126300811767578e-05,0.00799560546875,4.76837158203125e-06
1.7523765563964844e-05,0.0089111328125,1.704692840576172e-05
1.8715858459472656e-05,0.00799560546875,7.569789886474609e-06
1.1920928955078125e-05,0.0078125,9.357929229736328e-06
1.0967254638671875e-05,0.006927490234375,5.245208740234375e-06
1.245737075805664e-05,0.00714111328125,1.1026859283447266e-05
1.9073486328125e-05,0.007171630859375,1.4007091522216797e-05
1.4662742614746094e-05,0.006683349609375,6.407499313354492e-06
9.834766387939453e-06,0.006378173828125,7.808208465576172e-06
1.0788440704345703e-05,0.00634765625,8.761882781982422e-06
9.417533874511719e-06,0.00579833984375,3.933906555175781e-06
8.165836334228516e-06,0.00531005859375,6.735324859619141e-06
2.0742416381835938e-05,0.007659912109375,1.9311904907226562e-05
2.6702880859375e-05,0.00799560546875,1.728534698486328e-05
2.4199485778808594e-05,0.00872802734375,1.8715858459472656e-05
2.1219253540039062e-05,0.00787353515625,8.404254913330078e-06
0.0001926422119140625,0.0198974609375,0.0001926422119140625
0.00019359588623046875,0.01556396484375,1.0907649993896484e-05
