grad_diff_norm,param_update_norm,next_grad_norm
6.295740604400635e-07,0.0015869140625,6.295740604400635e-07
1.1175870895385742e-06,0.0031280517578125,1.55717134475708e-06
1.4007091522216797e-06,0.0028839111328125,8.307397365570068e-07
9.499490261077881e-07,0.0018310546875,3.03611159324646e-07
3.039836883544922e-06,0.003509521484375,2.950429916381836e-06
2.950429916381836e-06,0.0027008056640625,6.332993507385254e-07
1.3932585716247559e-06,0.00274658203125,1.125037670135498e-06
2.339482307434082e-06,0.0028076171875,1.9669532775878906e-06
5.811452865600586e-06,0.0040283203125,6.079673767089844e-06
4.827976226806641e-06,0.004058837890625,1.4826655387878418e-06
1.55717134475708e-06,0.004119873046875,2.3543834686279297e-06
1.125037670135498e-06,0.004241943359375,1.8775463104248047e-06
3.7550926208496094e-06,0.004638671875,5.185604095458984e-06
2.5779008865356445e-06,0.0048828125,3.427267074584961e-06
1.4454126358032227e-06,0.00531005859375,4.410743713378906e-06
2.7120113372802734e-06,0.00531005859375,3.2335519790649414e-06
4.082918167114258e-06,0.004852294921875,1.7881393432617188e-06
1.3172626495361328e-05,0.006195068359375,1.3113021850585938e-05
1.1622905731201172e-05,0.005645751953125,1.8253922462463379e-06
4.500150680541992e-06,0.00579833984375,4.231929779052734e-06
4.172325134277344e-06,0.005584716796875,2.205371856689453e-06
3.3080577850341797e-06,0.005859375,4.708766937255859e-06
2.995133399963379e-06,0.00579833984375,5.27501106262207e-06
4.500150680541992e-06,0.006561279296875,7.3015689849853516e-06
4.231929779052734e-06,0.0068359375,5.066394805908203e-06
5.632638931274414e-06,0.0067138671875,4.589557647705078e-06
5.8710575103759766e-06,0.0054931640625,2.3990869522094727e-06
5.0067901611328125e-06,0.005645751953125,3.933906555175781e-06
1.3768672943115234e-05,0.00775146484375,1.4781951904296875e-05
