grad_diff_norm,param_update_norm,next_grad_norm
9.98377799987793e-07,0.0030975341796875,9.98377799987793e-07
2.2649765014648438e-06,0.005279541015625,2.086162567138672e-06
3.248453140258789e-06,0.006011962890625,2.6226043701171875e-06
3.4421682357788086e-06,0.005706787109375,2.384185791015625e-06
4.887580871582031e-06,0.00701904296875,4.5299530029296875e-06
5.662441253662109e-06,0.006988525390625,3.6954879760742188e-06
5.692243576049805e-06,0.007049560546875,4.291534423828125e-06
6.943941116333008e-06,0.0076904296875,5.632638931274414e-06
6.467103958129883e-06,0.0078125,4.023313522338867e-06
7.68899917602539e-06,0.007781982421875,6.467103958129883e-06
7.3015689849853516e-06,0.007354736328125,3.546476364135742e-06
4.738569259643555e-06,0.007080078125,3.6507844924926758e-06
5.5730342864990234e-06,0.007293701171875,4.649162292480469e-06
7.450580596923828e-06,0.00732421875,5.9604644775390625e-06
9.357929229736328e-06,0.00775146484375,7.3909759521484375e-06
9.417533874511719e-06,0.007476806640625,5.7220458984375e-06
8.52346420288086e-06,0.007354736328125,6.586313247680664e-06
1.0609626770019531e-05,0.00830078125,8.404254913330078e-06
9.5367431640625e-06,0.00897216796875,7.420778274536133e-06
1.1265277862548828e-05,0.00860595703125,8.58306884765625e-06
1.1742115020751953e-05,0.0089111328125,9.059906005859375e-06
1.0073184967041016e-05,0.00836181640625,4.947185516357422e-06
7.927417755126953e-06,0.00860595703125,6.9141387939453125e-06
1.1920928955078125e-05,0.009765625,1.0728836059570312e-05
1.2814998626708984e-05,0.00982666015625,8.821487426757812e-06
1.1682510375976562e-05,0.01007080078125,8.64267349243164e-06
1.1086463928222656e-05,0.0091552734375,7.361173629760742e-06
1.3113021850585938e-05,0.0093994140625,1.0967254638671875e-05
1.4960765838623047e-05,0.0101318359375,1.0788440704345703e-05
