grad_diff_norm,param_update_norm,next_grad_norm
1.691281795501709e-06,0.00830078125,1.691281795501709e-06
3.2782554626464844e-06,0.0106201171875,2.771615982055664e-06
4.351139068603516e-06,0.0113525390625,3.3527612686157227e-06
4.231929779052734e-06,0.01068115234375,2.86102294921875e-06
7.2479248046875e-05,0.037841796875,7.2479248046875e-05
7.295608520507812e-05,0.032470703125,7.599592208862305e-06
9.655952453613281e-06,0.0283203125,5.990266799926758e-06
8.761882781982422e-06,0.025146484375,6.258487701416016e-06
7.987022399902344e-06,0.0223388671875,4.738569259643555e-06
1.3768672943115234e-05,0.021484375,1.2695789337158203e-05
1.8477439880371094e-05,0.0206298828125,1.33514404296875e-05
1.4662742614746094e-05,0.0185546875,5.930662155151367e-06
2.1696090698242188e-05,0.0198974609375,2.086162567138672e-05
2.2411346435546875e-05,0.0184326171875,8.046627044677734e-06
1.3709068298339844e-05,0.0177001953125,1.1146068572998047e-05
1.3649463653564453e-05,0.0162353515625,7.927417755126953e-06
1.5616416931152344e-05,0.016357421875,1.3470649719238281e-05
2.086162567138672e-05,0.0172119140625,1.609325408935547e-05
1.7642974853515625e-05,0.0157470703125,7.063150405883789e-06
1.2040138244628906e-05,0.01483154296875,9.715557098388672e-06
1.5616416931152344e-05,0.0146484375,1.2099742889404297e-05
1.2934207916259766e-05,0.01324462890625,4.738569259643555e-06
9.238719940185547e-06,0.0125732421875,8.106231689453125e-06
2.372264862060547e-05,0.0157470703125,2.2649765014648438e-05
2.956390380859375e-05,0.017333984375,1.9311904907226562e-05
2.6226043701171875e-05,0.0177001953125,1.7881393432617188e-05
2.0265579223632812e-05,0.016845703125,1.049041748046875e-05
0.0002040863037109375,0.0400390625,0.0002040863037109375
0.0002040863037109375,0.03662109375,1.0848045349121094e-05
